,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
352,352,Departamento de Maldonado,-34.6667,-54.9167,78.01,78,75,11.5,UY,1612989307,
355,355,Lydenburg,-25.0978,30.4597,75.0,86,27,1.99,ZA,1612989308,
358,358,Paciran,-6.8767,112.3761,76.96,87,99,8.21,ID,1612989311,
362,362,Saldanha,-33.0117,17.9442,66.2,77,0,12.66,ZA,1612989312,
367,367,Benguela,-12.5763,13.4055,77.18,80,100,7.11,AO,1612989315,
368,368,Taoudenni,22.6783,-3.9836,69.96,19,0,11.1,ML,1612989315,
374,374,Río Gallegos,-51.6226,-69.2181,78.8,29,0,10.36,AR,1612989317,
375,375,Ouadda,8.0777,22.4007,68.92,23,97,4.97,CF,1612989317,
376,376,Marawi,7.9986,124.2928,73.99,92,39,5.99,PH,1612989317,
382,382,Mana,5.6592,-53.7767,78.8,75,77,9.55,GF,1612989319,
385,385,Adrar,20.5022,-10.0711,68.72,19,26,9.89,MR,1612989319,
386,386,Toamasina,-18.1667,49.3833,77.0,94,75,9.22,MG,1612989319,
391,391,Gigmoto,13.7796,124.39,77.86,85,41,9.53,PH,1612989321,
392,392,Bom Jesus,-9.0744,-44.3586,78.91,82,84,2.1,BR,1612989321,
393,393,Jaguarão,-32.5661,-53.3758,75.87,76,90,13.53,BR,1612989321,
394,394,Sibolga,1.7427,98.7792,76.75,84,83,3.6,ID,1612989322,
395,395,Mahébourg,-20.4081,57.7,78.8,78,75,11.5,MU,1612989322,
400,400,Ndélé,8.4109,20.6473,72.81,20,66,3.85,CF,1612989323,
401,401,Eldorado,-23.7869,-54.2836,78.6,77,97,3.56,BR,1612989324,
402,402,Arlit,18.7369,7.3853,75.61,15,30,8.03,NE,1612989324,
403,403,Nyimba,-14.5566,30.8149,69.66,94,99,3.49,ZM,1612989324,
409,409,Puerto Maldonado,-12.6,-69.1833,71.6,100,90,9.22,PE,1612989326,
413,413,Port Augusta,-32.5,137.7667,66.2,48,0,5.75,AU,1612989327,
416,416,Christchurch,-43.5333,172.6333,66.0,32,0,12.66,NZ,1612989206,
417,417,Kigorobya,1.6162,31.3089,76.06,48,91,3.74,UG,1612989329,
418,418,Cafarnaum,-11.6936,-41.4683,76.6,64,40,8.08,BR,1612989329,
422,422,Hattiesburg,31.3271,-89.2903,75.2,57,75,5.75,US,1612989066,
424,424,Necochea,-38.5473,-58.7368,71.01,69,27,8.01,AR,1612989332,
426,426,Raja,8.4596,25.678,70.56,22,100,4.43,SS,1612989332,
429,429,Gamba,-2.65,10.0,79.12,89,98,1.99,GA,1612989334,
432,432,Giyani,-23.3025,30.7187,73.63,79,5,8.68,ZA,1612989336,
436,436,Ciudad Darío,12.7314,-86.124,77.0,57,40,11.5,NI,1612989336,
437,437,‘Āhuimanu,21.4447,-157.8378,73.4,49,75,6.91,US,1612989337,
438,438,Salinópolis,-0.6136,-47.3561,79.23,86,100,9.84,BR,1612989234,
441,441,Mananjary,-21.2167,48.3333,76.06,86,100,3.44,MG,1612989338,
442,442,Sinnamary,5.3833,-52.95,78.26,78,98,11.03,GF,1612989338,
443,443,Kananga,-5.8958,22.4178,71.98,86,100,3.0,CD,1612989338,
446,446,Cairns,-16.9167,145.7667,77.0,94,75,2.3,AU,1612989212,
447,447,Aswān,24.0934,32.907,68.9,38,54,7.9,EG,1612989339,
460,460,Alice Town,25.7167,-79.3,74.53,80,100,9.17,BS,1612989345,
461,461,San Patricio,28.017,-97.5169,78.8,78,75,9.22,US,1612989345,
463,463,Quatre Cocos,-20.2078,57.7625,78.8,78,75,11.5,MU,1612989346,
465,465,Bongaree,-27.0797,153.1586,68.0,88,69,1.99,AU,1612989347,
468,468,Rome,34.257,-85.1647,69.8,46,1,6.91,US,1612989348,
490,490,Cayenne,4.9333,-52.3333,75.2,100,75,6.91,GF,1612989355,
493,493,Samut Prakan,13.5,100.45,77.0,66,1,3.29,TH,1612989355,
497,497,Ratnagiri,16.9833,73.3,72.32,41,26,4.81,IN,1612989357,
500,500,Plettenberg Bay,-34.0527,23.3716,67.51,92,26,1.59,ZA,1612989357,
503,503,Abong Mbang,3.9833,13.1833,74.14,50,100,3.09,CM,1612989358,
508,508,Mareeba,-17.0,145.4333,77.0,94,75,2.3,AU,1612989359,
509,509,Verāval,20.9,70.3667,70.11,46,100,10.2,IN,1612989359,
512,512,Buba,11.5833,-15.0,72.54,72,49,5.77,GW,1612989360,
515,515,Avera,33.194,-82.5271,71.6,73,90,8.05,US,1612989361,
516,516,Senanga,-16.1167,23.2667,68.54,95,100,5.23,ZM,1612989361,
517,517,Islamkot,24.6997,70.17699999999999,65.39,25,30,7.47,PK,1612989361,
521,521,Taltal,-25.4,-70.4833,68.72,67,35,4.9,CL,1612989363,
522,522,Makakilo City,21.3469,-158.0858,75.2,46,1,4.61,US,1612989363,
524,524,Komatipoort,-25.4332,31.9548,75.99,83,0,4.18,ZA,1612989364,
536,536,Calama,-22.4667,-68.9333,73.4,27,20,26.46,CL,1612989247,
538,538,Antofagasta,-23.65,-70.4,71.6,68,20,13.8,CL,1612989368,
546,546,Poum,-20.2333,164.0167,78.8,74,32,14.54,NC,1612989370,
548,548,Lucapa,-8.4192,20.7447,66.79,95,38,2.46,AO,1612989370,
555,555,Valle de Allende,26.9333,-105.4,76.82,16,0,6.49,MX,1612989372,
561,561,Manjeshwar,12.7194,74.8861,73.4,83,82,3.44,IN,1612989373,
563,563,Noumea,-22.2763,166.4572,79.0,94,75,2.3,NC,1612989199,
571,571,Kidal,18.4411,1.4078,74.7,16,18,7.81,ML,1612989375,
574,574,St. George's,12.0564,-61.7485,78.8,69,40,17.27,GD,1612989375,
